pdf_path,pdf_filename,doi,study_domain,study_goal,paper_processing_status,paper_processing_error,equipment_name,aliases,manufacturer,model,equipment_type,equipment_role,short_description,typical_applications,measurement_outputs,paper_specific_use,sample_context,shared_or_local,contact_person,used_in_study,certainty,confidence_score,evidence_text,location_type,notes
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,scanning electron microscope with energy-dispersive X-ray spectroscopy,SEM-EDX system | FEI Verios 460 SEM-EDX system | EDX | SEM,FEI,Verios 460,microscopy,primary,Electron microscope with elemental analysis capability used for imaging and composition measurements.,surface morphology imaging | elemental composition analysis | microstructure characterization,SEM images | elemental concentrations | EDS spectra,Used to measure the elemental composition of the HEA target and films and to acquire SEM images of surface morphology.,HfMoNbTiZr target and thin films,,,True,explicit,0.99,measured by means of energy-dispersive x-ray spectroscopy (EDX) using a FEI Verios 460 SEM-EDX system | SEM images of the surface morphology were acquired using the same setup,main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,grazing-incidence X-ray diffractometer,GI-XRD | Bruker D8 QUEST diffractometer system,Bruker,D8 QUEST,diffraction,primary,X-ray diffraction instrument used to determine thin-film crystal structure in grazing incidence geometry.,phase identification | thin-film crystallography | texture/orientation analysis,diffractograms | diffraction peak positions | crystal phase information,Used to investigate the structural properties of the HfMoNbTiZr thin films grown at different temperatures.,HfMoNbTiZr thin films and bulk PLD target,,,True,explicit,0.99,investigated ex situ by means of grazing incidence x-ray diffraction (GI-XRD) | The GI-XRD investigation was performed using a Bruker D8 QUEST diffractometer system,main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,x-ray source,Incoatec I μS 3.0 CuK α x-ray source,Incoatec,I μS 3.0,other,supporting,X-ray source used with the diffractometer for GI-XRD measurements.,X-ray diffraction | materials phase analysis,X-ray diffraction signal,Provided Cu Kα X-rays for GI-XRD measurements of the films.,GI-XRD setup for HfMoNbTiZr films,,,True,explicit,0.9,equipped with an Incoatec I μS 3.0 CuK α x-ray source,main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,pixel array detector,PHOTON II Charge-integrating Pixel Array Detector | CPAD,,PHOTON II,detector,supporting,2D X-ray detector used to record diffraction patterns.,X-ray diffraction imaging | reciprocal-space mapping,2D diffraction patterns | detector images,Used to collect 2D GI-XRD patterns for the thin films.,GI-XRD measurements of HfMoNbTiZr films,,,True,explicit,0.95,and a PHOTON II Charge-integrating Pixel Array Detector (CPAD) | The 2D diffraction patterns,main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,transmission electron microscope,TEM | JEOL 2010,JEOL,2010,microscopy,primary,Electron microscope used for real-space imaging and electron diffraction of thin films.,microstructure imaging | selected area electron diffraction | nanocrystal/amorphous structure analysis,TEM images | selected area electron diffraction patterns | diffraction rings,Used to record TEM images and SAED patterns of HfMoNbTiZr thin films at different growth temperatures.,HfMoNbTiZr thin films on Si3N4 TEM windows,,,True,explicit,0.99,A JEOL 2010 operating at 200 kV ... was used to record selected area electron diffraction (SAED) patterns and bright-field TEM images | transmission electron microscopy (TEM),main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,x-ray photoelectron spectrometer,XPS | Scienta Omicron R4000 HiPP-3 analyzer,Scienta Omicron,R4000 HiPP-3,spectroscopy,primary,Surface-sensitive spectrometer used to analyze elemental and chemical states.,surface composition analysis | chemical state analysis | thin-film surface characterization,XPS survey spectra | core-level peaks | surface chemical composition,Used to determine surface composition and impurity content of the as-grown HEA thin films.,as-grown HfMoNbTiZr thin films,,,True,explicit,0.99,XPS measurements were performed in an ultra-high vacuum (UHV) setup ... equipped with a Scienta Omicron R4000 HiPP-3 analyzer | The surface composition and impurity content were investigated using x-ray photoelectron spectroscopy,main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,monochromatic Al K-alpha x-ray source,monochromatic Al-K α x-ray source | Al-K α x-ray source,,,other,supporting,X-ray excitation source used for XPS measurements.,photoelectron spectroscopy excitation | surface chemical analysis,photoelectron spectra,Provided Al Kα radiation for the XPS measurements.,XPS setup,,,True,explicit,0.9,and a monochromatic Al-K α x-ray source (1486.6 eV),main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,nanoindentation system,Femtotools FT-I04 system | nanoindentation | CSM mode,Femtotools,FT-I04,mechanical testing,primary,Instrumented indentation system used to measure hardness and reduced modulus.,hardness testing | elastic modulus measurement | thin-film mechanical property characterization,hardness as a function of indentation depth | reduced modulus | load-displacement or stiffness curves,Used to measure hardness of HfMoNbTiZr thin films and the bulk PLD target in continuous stiffness mode.,"HfMoNbTiZr thin films, bulk HEA target, Al2O3 substrate",,,True,explicit,0.99,performed using a Femtotools FT-I04 system equipped with a Berkovich diamond tip | The hardness of the HfMoNbTiZr thin films and the bulk PLD target was determined via nanoindentation measurements,main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,Berkovich diamond tip,Berkovich tip | diamond tip,,,other,supporting,Indentation tip used in nanoindentation hardness measurements.,instrumented indentation | hardness testing,indentation response,Used as the indenter tip in nanoindentation measurements.,nanoindentation of HEA films and target,,,True,explicit,0.93,"equipped with a Berkovich diamond tip (radius ≈200 nm) | The Berkovich tip, 3-sided pyramid",main_text,
data/interim/pdfs/Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,Bridging_the_gap_between_high-entropy_alloys_and_metallic_glasses__Control_over_disorder_and_mechanical_properties_of_co.pdf,10.1016/j.mtcomm.2024.110604,materials science / thin-film coatings,To tune the structural disorder and hardness of HfMoNbTiZr thin films by varying pulsed laser deposition growth conditions.,equipment_extracted,,MEMS force sensors,FT S-20000 bi-axial MEMS force sensors,,FT S-20000,sensor,supporting,Force sensors integrated in the nanoindentation system to measure applied forces.,force measurement in nanoindentation | mechanical testing,force signal | stiffness response,Used within the nanoindentation system to measure forces during indentation.,nanoindentation measurements,,,True,explicit,0.9,and FT S-20000 bi-axial MEMS force sensors,main_text,
data/interim/pdfs/Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,10.1021/acsenergylett.0c01758,magneto-optical spectroscopy / halide perovskites,To directly measure and explain the tunable carrier effective mass in 2D halide perovskites using high-magnetic-field optical spectroscopy and supporting calculations.,equipment_extracted,,pulsed field magnet,pulsed field magnet | magnet | high magnetic field,,,magnet system,primary,Generates short-duration high magnetic fields for magneto-optical measurements.,high-field magneto-optical spectroscopy | Landau level spectroscopy | magnetotransport experiments,transmission spectra versus magnetic field | field-dependent optical transition energies,Used to measure transmission spectra up to 68 T for determining Landau level transitions and effective masses in 2D halide perovskite films.,(PEA)2PbI4 and (PEA)2SnI4 thin films,,,True,explicit,0.99,Transmission spectra as a function of magnetic field were measured in a pulsed ﬁeld magnet with maximum ﬁeld B = 68 T | at selected magnetic ﬁelds up to 65 T,main_text,
data/interim/pdfs/Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,10.1021/acsenergylett.0c01758,magneto-optical spectroscopy / halide perovskites,To directly measure and explain the tunable carrier effective mass in 2D halide perovskites using high-magnetic-field optical spectroscopy and supporting calculations.,equipment_extracted,,single-turn coil facility,single-turn coil experiment | single-turn coil,,,magnet system,primary,Produces extreme pulsed magnetic fields for high-field optical measurements.,ultra-high magnetic field spectroscopy | extreme-field magneto-optical studies,false-color transmission spectra at extreme fields | high-field Landau transition shifts,Provided extreme magnetic field data for observing the first two Landau level transitions in (PEA)2PbI4.,(PEA)2PbI4 thin film,,,True,explicit,0.94,False-color plot of the T(B)/T(0) ratio transmission spectrum showing the energy shift of the ﬁrst two Landau level transitions in extreme magnetic ﬁelds obtained in single-turn coil experiment,main_text,
data/interim/pdfs/Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,10.1021/acsenergylett.0c01758,magneto-optical spectroscopy / halide perovskites,To directly measure and explain the tunable carrier effective mass in 2D halide perovskites using high-magnetic-field optical spectroscopy and supporting calculations.,equipment_extracted,,monochromator,grating of a monochromator,,,spectroscopy,supporting,Disperses transmitted light into its spectral components.,absorption spectroscopy | transmission spectroscopy | photoluminescence spectroscopy,wavelength-resolved spectra | spectral intensity distributions,Used in the optical spectroscopy setup to disperse the transmitted signal before detection.,(PEA)2PbI4 and (PEA)2SnI4 samples in cryostat,,,True,explicit,0.9,The signal is dispersed using the grating of a monochromator,main_text,
data/interim/pdfs/Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,10.1021/acsenergylett.0c01758,magneto-optical spectroscopy / halide perovskites,To directly measure and explain the tunable carrier effective mass in 2D halide perovskites using high-magnetic-field optical spectroscopy and supporting calculations.,equipment_extracted,,liquid-nitrogen-cooled CCD camera,CCD camera,,,detector,supporting,Detects dispersed optical signals in a spectroscopic setup.,optical spectroscopy detection | camera-based spectral acquisition,digital spectra | intensity-versus-wavelength data,Detected the transmitted light after dispersion by the monochromator.,,,,True,explicit,0.9,detected using a liquid-nitrogen-cooled CCD camera,main_text,
data/interim/pdfs/Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,10.1021/acsenergylett.0c01758,magneto-optical spectroscopy / halide perovskites,To directly measure and explain the tunable carrier effective mass in 2D halide perovskites using high-magnetic-field optical spectroscopy and supporting calculations.,equipment_extracted,,liquid helium cryostat,cryostat,,,cryogenic system,supporting,Maintains low-temperature sample conditions during optical measurements.,low-temperature spectroscopy | cryogenic optical experiments,temperature-controlled measurement conditions,Held the sample during transmission and photoluminescence measurements at low temperature.,(PEA)2PbI4 thin film and related samples,,,True,explicit,0.93,The sample is placed in a liquid helium cryostat,main_text,
data/interim/pdfs/Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,10.1021/acsenergylett.0c01758,magneto-optical spectroscopy / halide perovskites,To directly measure and explain the tunable carrier effective mass in 2D halide perovskites using high-magnetic-field optical spectroscopy and supporting calculations.,equipment_extracted,,optical fiber coupling setup,optical ﬁber | fiber,,,optical setup,supporting,Routes light to and from the sample in the spectroscopy setup.,fiber-coupled spectroscopy | remote optical delivery and collection,delivered excitation/illumination light | collected transmitted optical signal,Used to send white light to the sample and collect transmitted signal from the sample.,,,,True,explicit,0.87,The light is sent to the sample using an optical ﬁber. | The transmitted signal is collected by a lens and coupled to another ﬁber.,main_text,
data/interim/pdfs/Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,Broad_Tunability_of_Carrier_Effective_Masses_in_Two-Dimensional_Halide_Perovskites.pdf,10.1021/acsenergylett.0c01758,magneto-optical spectroscopy / halide perovskites,To directly measure and explain the tunable carrier effective mass in 2D halide perovskites using high-magnetic-field optical spectroscopy and supporting calculations.,equipment_extracted,,spin coater,spin-coating process,,,fabrication,primary,Deposits thin films by spin coating precursor solutions onto substrates.,thin-film deposition | solution processing of functional materials,thin-film samples,Used with antisolvent treatment to deposit precursor solution films of perovskite materials on glass substrates.,perovskite precursor solutions on glass substrates,,,True,explicit,0.97,A spin-coating process with antisolvent treatment was used to deposit the precursor solution onto the cleaned substrates.,main_text,
data/interim/pdfs/Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,,integrated photonics / silicon carbide waveguides,To fabricate and experimentally test monolithic single-mode planar waveguides in 4H-SiC using carrier-concentration engineering.,equipment_extracted,,tunable CW Ti:Sapphire laser,Ti:Sapphire laser,,,laser,primary,Tunable continuous-wave laser used as the main light source for waveguide coupling and transmission tests.,optical spectroscopy | photonic device testing | tunable excitation of samples,optical transmission | wavelength-dependent coupling behavior,Used to test waveguide transmission and mode matching in the 700-1000 nm range.,4H-SiC planar waveguides (n-i-n and p-i-n junction samples),,,True,explicit,0.99,we used a 700-1000 nm tunable CW Ti:Sapphire laser | For initial testing we focused an 800 nm beam,main_text,
data/interim/pdfs/Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,,integrated photonics / silicon carbide waveguides,To fabricate and experimentally test monolithic single-mode planar waveguides in 4H-SiC using carrier-concentration engineering.,equipment_extracted,,tunable diode laser,diode lasers,,,laser,primary,Tunable laser source used for waveguide transmission measurements at longer wavelengths.,optical testing | wavelength-dependent transmission measurements | photonic characterization,optical transmission | wavelength-dependent mode coupling,Used to probe waveguide behavior around 1100 nm and 1300 nm.,4H-SiC planar waveguides,,,True,explicit,0.95,and tunable diode lasers for use around 1100 and 1300 nm | we repeat these scans for several wavelengths,main_text,
data/interim/pdfs/Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,,integrated photonics / silicon carbide waveguides,To fabricate and experimentally test monolithic single-mode planar waveguides in 4H-SiC using carrier-concentration engineering.,equipment_extracted,,stepper-motor controlled six-axis stage,six-axis stage,,,positioning stage,primary,Motorized multi-axis positioning system used to align and scan the laser focus relative to the waveguide facet and layers.,precision optical alignment | sample scanning | beam positioning in photonics experiments,transmission versus position | mode-matching curves,Used to align the laser to the waveguide layer and scan the focal point across the input facet during mode-matching measurements.,waveguide sample facets and layers,,,True,explicit,0.98,"aligned it to the waveguide layer using a stepper-motor controlled six-axis stage | By scanning the position of the stage, the focal point of the laser can be scanned along the input facet of sample",main_text,
data/interim/pdfs/Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,,integrated photonics / silicon carbide waveguides,To fabricate and experimentally test monolithic single-mode planar waveguides in 4H-SiC using carrier-concentration engineering.,equipment_extracted,,aspheric lens,f = 4.5 mm aspheric lens,,,optics,supporting,Focusing optic used to couple the laser beam into the waveguide and collect emitted/transmitted light.,beam focusing | fiber-coupled photonics alignment | optical coupling,focused beam position | coupling efficiency,Used to focus the beam onto the waveguide sample during transmission and mode-matching experiments.,4H-SiC waveguide samples,,,True,explicit,0.91,it is focused onto a waveguide sample by an f = 4.5 mm aspheric lens | focused by an aspheric lens with 4.5 mm focal length,main_text,
data/interim/pdfs/Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,,integrated photonics / silicon carbide waveguides,To fabricate and experimentally test monolithic single-mode planar waveguides in 4H-SiC using carrier-concentration engineering.,equipment_extracted,,CMOS camera,camera,,,imaging,primary,Camera used to image the light exiting the sample and visualize guided transmission at the facet.,optical imaging | beam profiling | photonic device visualization,camera images | spatial light distribution,Used to capture the end-facet transmission image and assess waveguide coupling.,light exiting 4H-SiC waveguide samples,,,True,explicit,0.95,Half of the intensity of light exiting the sample is focused onto a CMOS camera | A single-mode fiber attached to a six-axis stage feeds a wavelength-tunable laser to the setup,main_text,
data/interim/pdfs/Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,,integrated photonics / silicon carbide waveguides,To fabricate and experimentally test monolithic single-mode planar waveguides in 4H-SiC using carrier-concentration engineering.,equipment_extracted,,photodetector,detector | photodetector,,,detector,primary,Light detector used to measure transmitted optical power through the waveguide.,optical power measurement | transmission characterization | photonic device testing,transmitted intensity | transmission traces,Used to record waveguide transmission as the lens position and wavelength were varied.,light exiting 4H-SiC waveguide samples,,,True,explicit,0.97,the other half is focused into a photodetector | The transmission is captured by a photodetector and a camera,main_text,
data/interim/pdfs/Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,Broadband_single-mode_planar_waveguides_in_monolithic_4H-SiC.pdf,,integrated photonics / silicon carbide waveguides,To fabricate and experimentally test monolithic single-mode planar waveguides in 4H-SiC using carrier-concentration engineering.,equipment_extracted,,single-mode fiber,single-mode ﬁber,,,fiber optic component,supporting,Fiber used to deliver the laser beam into the coupling setup.,laser beam delivery | fiber-coupled optics | alignment in photonics experiments,beam delivery to setup,Used to feed the wavelength-tunable laser beam into the waveguide-coupling setup.,laser coupling setup for 4H-SiC waveguides,,,True,explicit,0.88,A single-mode fiber attached to a six-axis stage feeds a wavelength-tunable laser to the setup,main_text,"Included because it is part of the experimental coupling setup, though it is a supporting optical component."
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,FACS Aria cell sorter,FACS Aria,Beckton Dickinson,,sorting,primary,Cell sorter used to isolate CD63-negative cells after CRISPR editing.,fluorescence-activated cell sorting | selection of edited or labeled cells | single-cell sorting,sorted cell populations | fluorescence-based cell selection,Used to sort cells negative for CD63 after staining with the CD63 mAb TS63.,CD63-negative HeLa or MNT-1 cells,,,True,explicit,0.98,Cells negative for CD63 were sorted following staining with the CD63 mAb TS63 using a FACS Aria cell sorter (Beckton Dickinson).,main_text,
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,ZetaView nanoparticle tracking analyzer,ZetaView®,Particle Metrix,,particle tracking analysis,primary,Instrument for measuring particle size and concentration of extracellular vesicles.,nanoparticle tracking analysis | extracellular vesicle sizing | particle concentration measurement,particle size distribution | particle concentration | particles per milliliter,Used to measure EV size and concentration after isolation.,small extracellular vesicles (sEVs),,,True,explicit,0.99,"NTA measurements of EV size and concentration were performed using a ZetaView®, Particle Metrix.",main_text,
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,Zetasizer Ultra,Zetasizer Ultra®,Malvern Panalytical,,particle sizing,primary,Dynamic light scattering instrument used for measuring EV concentration/distribution.,dynamic light scattering | particle size analysis | colloidal characterization,distributed particle concentration | particle size-related scattering data,Used for DLS measurement of EV concentration.,extracellular vesicles,,,True,explicit,0.95,"DLS measurement of EV concentration was performed using Zetasizer Ultra®, Malvern Panalytical",main_text,
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,wide-field upright microscope,Eclipse 80i Upright,Nikon,Eclipse 80i Upright,microscopy,primary,Wide-field fluorescence microscope used for routine immunofluorescence imaging.,wide-field fluorescence imaging | cell imaging | immunofluorescence microscopy,fluorescence images | z-stack image series,Used to image immunofluorescence samples on coverslips.,fixed cells on coverslips,,,True,explicit,0.91,Coverslips were analyzed on a wide-field microscope (Eclipse 80i Upright; Nikon) equipped with a CCD camera,main_text,
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,spinning disk microscope system,spinning disk system | Live-SR,Gataca Systems / Nikon / Yokogawa,Ti-E; X1; Live-SR,microscopy,primary,Super-resolution spinning disk imaging system for live or fixed-cell high-resolution fluorescence imaging.,spinning disk confocal imaging | super-resolution fluorescence microscopy | structured illumination imaging,high-resolution fluorescence images | super-resolved image series,Used for super-resolution microscopy of actin/endosomal structures.,cells stained for fluorescence imaging,,,True,explicit,0.95,images were acquired on a spinning disk system (Gataca Systems) based on an inverted microscope (Ti -E; Nikon) equipped with a sCMOS camera | a superresolution module (Live -SR; Gataca systems),main_text,
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,Leica 3D widefield 3D DEC microscope,Leica 3D widefield 3D DEC microscope,Leica,,microscopy,primary,Widefield microscope for observing filipin-labeled cholesterol in cells.,widefield fluorescence imaging | 3D cell imaging | cholesterol staining visualization,fluorescence images | 3D image data,Used to observe filipin staining in cells.,LPDS-grown HeLa cells stained with Filipin III,,,True,explicit,0.92,Coverslips were observed on a Leica 3D widefield 3D DEC microscope with a 100x 1.4 NA HCX Plan-Apo objective lens,main_text,
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,confocal microscope Leica SP5,Leica SP5,Leica,SP5,microscopy,primary,Confocal microscope used for fluorescence imaging of D4-GFP and cholesterol trafficking experiments.,confocal fluorescence microscopy | cellular imaging | colocalization analysis,confocal fluorescence images | z-stack images | colocalization measurements,Used for imaging D4-GFP staining and EV uptake experiments.,cells and recipient cells on coverslips,,,True,explicit,0.97,Images were acquired using a confocal microscope Leica SP5 equipped with a 63x 1.4 NA objective | imaging with a confocal microscope Leica SP5 with a 63x 1.4 NA objective,main_text,
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,transmission electron microscope,Tecnai Spirit G2,Thermo Fisher,Tecnai Spirit G2,electron microscopy,primary,Transmission electron microscope used for ultrastructural analysis of cells and extracellular vesicles.,transmission electron microscopy | ultrastructural imaging | negative staining | immunogold electron microscopy,electron micrographs | ultrastructural images | immunogold-labeled EM images,"Used to analyze multivesicular bodies, endosomal tubulations, and EV cholesterol labeling.","cells, ultrathin cryosections, and extracellular vesicles",,,True,explicit,0.99,"The samples were analyzed with an 80 kV transmission electron microscope (Tecnai Spirit G2; Thermo Fischer, Eindhoven, The Netherlands)",main_text,
data/interim/pdfs/CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,CD63_sorts_cholesterol_into_endosomes_for_storage_and_distribution_via_exosomes.pdf,10.1038/s41556-024-01432-9,cell biology / extracellular vesicles,To determine how CD63 regulates cholesterol sorting into endosomes and exosomes and how this affects vesicle properties and cholesterol transfer.,equipment_extracted,,high-pressure freezer,HPM100,Leica Microsystems,HPM100,sample preparation,supporting,Freezing system used to preserve cells for high-pressure freezing electron microscopy.,high-pressure freezing | cryofixation | electron microscopy sample preparation,rapidly frozen samples for EM,Used to high-pressure freeze cells before freeze substitution and EM.,cultured cells on sapphire disks,,,True,explicit,0.95,high-pressure frozen with HPM100 (Leica Microsystems),main_text,
